CustomerID,Customer Name,Address,PhoneNumber
SDS-1001,MMK KARUNANIDHI,"23/16 NO.1 MARKET STREET,AMMAPET 286301",9443705810
SDS-1002,MOTHI PHARMA (GENERIC),"NO.7/3, POWDER MILL ROAD,2ND STREET, 1ST FLOOR ,PULIANTHOPE,CHENNAI-12",4443024750
SDS-1003,MAHAVEER PHARMACEUTICALS,"47/21 NORTH FACING 1ST FLOOR, MADDOX STREET,CHOOLAI, PURSAWALKAM TK -600 112",
SDS-1004,SRI SHASTI MEDICAL AGENCY,"N0.102/2, ROOM NO.4, CHINNA MUTHU MAIN STREET,ERODE 638 001",
SDS-1005,SRI SHASTI MEDICAL AGENCY.,"NO.102/2, ROOM NO.4 CHINNAMUTHU MAIN STREET,ERODE 638 001",
SDS-1006,ERO MEDICAL AGENCIES,"21, GROUND FLOOR, PATEL STREET,,ERODE 638 001, ERODE TALUK ERODE DT",
SDS-1007,BIOLOG PHARMACEUTICALS,"7, FIRST FLOOR, SENTHAMIZH 2ND STREET,,PARASAKTHI NAGAR, VILLAPURAM, MADURAI-625 012",9585811887
SDS-1008,SRI MUTHUMEENA AGENCIES,"2D/1, 1ST/2ND FLOOR, SEV BUILDING,,NORTH PERUMAL MAISTRY STREET",4524347467
SDS-1009,HIMALAYA WELLNESS COMPANY,"NO.253/1, 1A AND 2A, GROUND FLOOR,,THIRUPPARANKUNDRAM- NEAR BRIGHT SPINNERS PVT LTD",
SDS-1010,MUTHU KUMAR MEDICAL AGENCIES,"1ST FLOOR, 2ND FLOOR, 3RD FLOOR,,10 AND 10/1 VISALAPAGAM 1ST STREET",
SDS-1011,THARANYA CLINIC/SCANS,"4/173, RASIPURAM MAIN ROAD,BELUKURICHI NAMAKKAL DT. 637 402",4286246444
SDS-1012,PLUS PHARMACY,"D.NO.668, CUDDALORE MAIN ROAD,,AMMAPET",
SDS-1013,SREE ANNAI MEDICALS,"OLD NO.5/455,NEW NO.7/5, UDAYAPATTY COLONY,ATTUR MAIN ROAD, SALEM DT",9751484841
SDS-1014,UNIVERSAL PHARMA DISTRIBUTORS,"295/3,KUMARASAMYPATTY, CHERRY ROAD,SALEM-636007",4272419397
SDS-1015,SP MEDITECH PVT LTD,"69/2,RAJESHWARI TOWER,,RAMAKRISHNA ROAD, SALEM-636007",4272555666
SDS-1016,PLA DISTRIBUTION SERVICE,"2A III AGRAHARAM (UPSTAIRS),SALEM 636001",4274040362
